ward,date,cases_lag_1,cases_lag_2,cases_lag_3,cases_lag_12,cases_roll_3,cases_roll_6,rain_lag_1,rain_3m_lag,rainy_days_lag_1,heavy_rain_days_lag_1,tmax_lag_1,tmin_lag_1,humidity_lag_1,oni_lag_1,month_sin,month_cos,slum_pct_imputed,population_density_per_km2,elevation_m,vulnerability_index,population_2019,predicted_cases,lower_80,upper_80,latest_annual_cases,calibration_scale,scenario,enso_value,climate_rain_mm_lag1,climate_temp_lag1,q50,q75,q90,slum_pct,risk_score,risk_level,priority_score,predicted_cases_per_100k
F/N,2026-01-01,90.11553820214749,76.25876297808145,97.18342355133551,88.62756233916052,87.85257491052148,95.50945070547517,2.1822886024563632,82.78471772438908,0.45454545454545453,0.0,30.37638630498536,20.1728817302053,63.58732870534057,0.0,0.49999999999999994,0.8660254037844387,58.0,44351.2179713998,11.0,94.01830303515386,547438.0,84.89844444335944,60.78774665875981,109.577809857741,1048.0,0.9912229790641491,typical,0.0,2.1822886024563632,30.37638630498536,210.5,281.5,415.30000000000007,58.0,0.7575757575757576,Low,24.072757576970282,15.50832138860646
P/S,2026-01-01,36.88431061806656,28.915478077126256,26.980190174326466,43.7147385103011,30.926659623173094,35.21465046663145,2.1822886024563632,82.78471772438908,0.45454545454545453,0.0,30.37638630498536,20.1728817302053,63.58732870534057,0.0,0.49999999999999994,0.8660254037844387,57.0,18947.99258776129,13.0,74.55156987481263,479631.0,39.71605550843241,22.64482883894767,47.83625858053104,431.0,0.6938065216802108,typical,0.0,2.1822886024563632,30.37638630498536,68.5,84.0,110.80000000000001,57.0,5.303030303030303,Low,22.615165195975884,8.280543899045812
H/E,2026-01-01,184.70595167943426,183.02298173246905,188.07189157336475,209.88037713612258,185.26694166175602,200.92791200157137,2.1822886024563632,82.78471772438908,0.45454545454545453,0.0,30.37638630498536,20.1728817302053,63.58732870534057,0.0,0.49999999999999994,0.8660254037844387,42.0,46206.38850675846,5.0,78.64547148825885,576624.0,182.23243725946185,151.97741662207991,222.84991354934886,2261.0,1.0452336083598999,typical,0.0,2.1822886024563632,30.37638630498536,446.0,562.5,628.9,42.0,1.5151515151515151,Low,20.79773150842835,31.60333896255824
K/W,2026-01-01,154.0656574105052,118.51204416192708,135.3959518233523,175.0081967213115,135.99121779859487,160.5865255938441,2.1822886024563632,82.78471772438908,0.45454545454545453,0.0,30.37638630498536,20.1728817302053,63.58732870534057,0.0,0.49999999999999994,0.8660254037844387,15.0,31401.094940158986,4.0,36.309719599293075,774733.0,145.52528905188285,110.88132012501579,182.62533358924406,1941.0,1.0092975501098544,typical,0.0,2.1822886024563632,30.37638630498536,255.0,312.0,386.9,15.0,14.393939393939394,Low,19.872884445277816,18.783928018024643
K/E,2026-01-01,261.67729863060305,241.60222278926034,249.57965467381135,290.8694394828613,250.95305869789158,267.5654031168193,2.1822886024563632,82.78471772438908,0.45454545454545453,0.0,30.37638630498536,20.1728817302053,63.58732870534057,0.0,0.49999999999999994,0.8660254037844387,49.0,35404.028806505885,32.0,67.47412697353374,852546.0,244.82170204672198,216.70005119702319,296.8371131615991,3092.0,0.9844485120143874,typical,0.0,2.1822886024563632,30.37638630498536,550.5,641.75,805.2,49.0,0.0,Low,16.868531743383436,28.71653870251247
H/W,2026-01-01,92.22828282828283,93.0888888888889,108.0060606060606,123.06666666666666,97.77441077441078,109.5838383838384,2.1822886024563632,82.78471772438908,0.45454545454545453,0.0,30.37638630498536,20.1728817302053,63.58732870534057,0.0,0.49999999999999994,0.8660254037844387,39.0,35081.3916144126,16.0,62.419549628621816,318281.0,92.04500853003154,71.2720877757467,115.50288864315182,1278.0,0.9688994021038206,typical,0.0,2.1822886024563632,30.37638630498536,163.0,221.25,291.6,39.0,0.7575757575757576,Low,16.173069225337272,28.919416656989117
F/S,2026-01-01,36.39103840682788,35.658179231863436,36.597155049786636,42.71194879089616,36.21545756282598,43.234874348032236,2.1822886024563632,82.78471772438908,0.45454545454545453,0.0,30.37638630498536,20.1728817302053,63.58732870534057,0.0,0.49999999999999994,0.8660254037844387,26.0,37977.76498450448,29.0,42.75650366858393,373529.0,41.77717975589218,20.917444598719946,57.2747762397018,483.0,0.8315184529539577,typical,0.0,2.1822886024563632,30.37638630498536,355.0,436.0,571.7000000000002,26.0,1.5151515151515151,Low,11.82548955350962,11.18445415373162
D,2026-01-01,0.0,0.0,0.0,0.0,0.0,0.0,2.1822886024563632,82.78471772438908,0.45454545454545453,0.0,30.37638630498536,20.1728817302053,63.58732870534057,0.0,0.49999999999999994,0.8660254037844387,10.0,43438.070289872856,17.0,32.5715918586037,358933.0,0.0,0.0,145.2362252577349,0.0,0.35,typical,0.0,2.1822886024563632,30.37638630498536,373.0,456.0,570.3000000000002,10.0,0.0,Low,8.142897964650926,0.0
T,2026-01-01,66.32203553495557,79.05813055233682,91.41685979142527,73.58632676709155,78.93234195957255,92.69046929316339,2.1822886024563632,82.78471772438908,0.45454545454545453,0.0,30.37638630498536,20.1728817302053,63.58732870534057,0.0,0.49999999999999994,0.8660254037844387,33.0,8200.969947931737,97.0,0.0,353343.0,84.30487022757067,60.29610639828581,98.57034499952168,977.0,1.0036294074710792,typical,0.0,2.1822886024563632,30.37638630498536,158.0,205.0,256.8,33.0,4.545454545454546,Low,3.409090909090909,23.859216180190543
G/S,2026-02-01,582.321073352673,644.045482801492,601.2715499378368,566.6192498963945,609.2127020306672,639.4883443845835,0.10828538344181818,17.501679340623635,0.0,0.0,29.35588208211146,18.853054809384187,63.067006729017365,0.0,0.8660254037844386,0.5000000000000001,21.0,41858.76936999277,7.0,49.35034752315354,390890.0,562.1293620839378,473.5377824467464,625.7497392210494,7839.0,1.001996486387063,typical,0.0,0.10828538344181818,29.35588208211146,445.5,569.25,725.7,21.0,72.72727272727273,Medium,66.88304142624293,143.8075576463808
E,2026-02-01,400.00030631624094,456.2041291429272,500.5755682166269,353.985480610182,452.26000122526494,465.6809920561988,0.10828538344181818,17.501679340623635,0.0,0.0,29.35588208211146,18.853054809384187,63.067006729017365,0.0,0.8660254037844386,0.5000000000000001,20.0,55680.01825933636,11.0,55.761109348493214,406967.0,399.83749416533277,330.66001122515434,482.03334608024915,5365.0,0.9885932517551124,typical,0.0,0.10828538344181818,29.35588208211146,306.0,443.25,675.0000000000002,20.0,70.45454545454545,Medium,66.7811864280324,98.2481366217243
R/N,2026-02-01,120.50103662750519,124.23750287952083,123.49020962911771,111.90716424786915,122.74291637871458,126.57279428703062,0.10828538344181818,17.501679340623635,0.0,0.0,29.35588208211146,18.853054809384187,63.067006729017365,0.0,0.8660254037844386,0.5000000000000001,51.0,31330.65518222099,11.0,76.65413963198206,446374.0,108.89944543365237,82.98180629874868,140.81188129759994,1622.0,0.97518594977642,typical,0.0,0.10828538344181818,29.35588208211146,84.5,137.25,183.60000000000002,51.0,60.60606060606061,Medium,64.61808036254097,24.39645800016407
M/E,2026-02-01,413.26906747304434,418.9095574085953,363.46766852988793,358.239897370109,398.5487644705092,414.2091491289695,0.10828538344181818,17.501679340623635,0.0,0.0,29.35588208211146,18.853054809384187,63.067006729017365,0.0,0.8660254037844386,0.5000000000000001,30.0,25140.114655526762,29.0,38.831176497016315,835819.0,390.3855241469269,324.4969621907928,474.62859644835066,4504.0,1.0015566153463125,typical,0.0,0.10828538344181818,29.35588208211146,351.5,510.0,711.0000000000002,30.0,58.333333333333336,Medium,53.45779412425408,46.70694542082998
